student_id,attendance_pct,internal_marks_avg,prev_semester_pct,cgpa,backlogs,assignment_submission_rate,lms_login_freq_per_week,library_visits_per_month,extracurricular_participation,family_income_monthly,first_generation_learner,distance_from_college_km,scholarship_status,fee_due,fee_delay_days,gender,category,hostel_or_dayscholar,dropout
STU1058,83.0,64.7,77.4,7.74,1,73.9,4,8,0,29096.0,0,8.7,0,1,49,Female,OBC,Day Scholar,1
STU1059,92.6,63.5,58.2,5.82,1,83.4,5,5,0,11867.0,1,7.4,0,0,0,Male,SC,Hostel,0
STU1060,70.8,75.3,74.0,7.4,1,41.6,8,3,0,21731.0,0,0.7,1,0,0,Female,EWS,Day Scholar,0
STU1061,75.2,57.5,66.5,6.65,0,100.0,4,7,0,34843.0,0,40.4,0,0,0,Male,OBC,Day Scholar,0
STU1062,61.4,67.0,46.8,4.68,1,75.5,6,4,0,29644.0,1,21.8,1,1,42,Male,General,Day Scholar,0
STU1063,60.1,58.1,67.1,6.71,1,35.7,3,5,1,20267.0,1,18.9,1,0,0,Female,General,Day Scholar,0
STU1064,90.2,64.8,46.1,4.61,1,98.9,4,7,0,24638.0,0,4.4,1,0,0,Female,OBC,Hostel,0
STU1065,98.3,49.5,51.9,5.19,1,60.0,8,6,0,79041.0,1,4.1,0,0,0,Female,EWS,Day Scholar,0
STU1066,76.9,16.1,65.0,6.5,1,95.9,5,4,0,29842.0,0,10.2,0,1,35,Female,SC,Day Scholar,0
STU1067,93.1,57.6,66.8,6.68,2,77.4,7,3,0,14927.0,0,22.5,0,1,44,Female,General,Day Scholar,0
STU1068,83.4,85.6,43.0,4.3,1,43.6,2,6,0,17250.0,0,32.7,0,0,0,Male,ST,Day Scholar,0
STU1069,68.3,76.7,78.9,7.89,1,80.2,5,4,1,9581.0,0,3.8,0,0,0,Female,SC,Hostel,0
STU1070,83.4,77.4,71.2,7.12,2,78.8,10,2,0,73734.0,1,11.2,0,0,0,Male,General,Day Scholar,0
STU1071,100.0,82.3,50.7,5.07,1,98.0,4,2,0,47208.0,0,15.4,1,0,0,Male,SC,Day Scholar,0
STU1072,77.5,61.6,37.4,3.74,2,85.4,5,5,0,18957.0,0,3.1,0,1,42,Female,General,Hostel,1
STU1073,100.0,63.6,59.7,5.97,0,50.2,3,1,0,66735.0,1,6.3,0,0,0,Female,OBC,Hostel,0
STU1074,38.7,48.9,54.9,5.49,1,95.0,3,5,0,26356.0,0,2.5,0,1,52,Male,General,Day Scholar,0
STU1075,90.3,54.3,63.8,6.38,0,66.7,8,4,0,13926.0,1,14.4,0,0,0,Male,General,Day Scholar,0
STU1076,79.3,71.1,56.2,5.62,1,100.0,3,1,1,31066.0,1,23.9,0,0,0,Female,SC,Hostel,0
STU1077,73.5,81.7,29.9,2.99,2,67.9,7,4,0,22907.0,0,25.2,0,1,43,Male,SC,Day Scholar,1
STU1078,79.4,57.5,55.8,5.58,0,70.8,8,1,1,29813.0,0,13.3,0,0,0,Female,General,Hostel,0
STU1079,48.2,51.9,57.1,5.71,1,58.6,4,2,0,7931.0,1,5.1,0,0,0,Female,General,Day Scholar,0
STU1080,74.7,60.0,72.1,7.21,2,65.0,5,4,1,11090.0,0,13.0,0,0,0,Female,OBC,Hostel,0
STU1081,83.4,70.8,50.8,5.08,1,59.7,6,3,1,44050.0,0,24.0,0,1,47,Male,SC,Hostel,0
STU1082,100.0,34.0,88.9,8.89,2,98.5,1,5,0,49806.0,1,11.8,0,0,0,Male,General,Day Scholar,0
STU1083,70.2,18.7,31.4,3.14,1,48.4,2,2,0,42153.0,1,6.4,0,1,45,Male,SC,Day Scholar,0
STU1084,65.9,50.1,83.0,8.3,1,91.1,3,3,0,68267.0,0,30.3,0,1,51,Female,EWS,Day Scholar,0
STU1085,70.5,38.0,58.4,5.84,1,91.6,4,3,0,25500.0,1,21.6,0,0,0,Male,OBC,Day Scholar,0
STU1086,91.7,50.9,75.8,7.58,0,100.0,4,4,0,24447.0,0,25.7,0,1,45,Female,General,Hostel,1
STU1087,82.9,57.3,63.3,6.33,0,75.9,4,2,1,10426.0,0,28.0,1,0,0,Female,General,Day Scholar,0
STU1088,70.1,51.8,80.2,8.02,0,54.5,3,3,0,12730.0,0,6.0,0,0,0,Male,General,Hostel,0
STU1089,85.7,86.1,55.8,5.58,0,71.6,5,2,0,5470.0,0,23.6,0,1,55,Female,General,Hostel,1
STU1090,79.5,65.9,44.4,4.44,2,86.9,5,4,1,14870.0,1,10.1,1,0,0,Male,SC,Day Scholar,1
STU1091,92.5,65.4,84.7,8.47,0,76.7,2,2,1,5244.0,0,0.5,0,0,0,Male,General,Day Scholar,0
STU1092,67.5,71.2,60.2,6.02,2,82.3,6,4,0,34495.0,0,12.1,0,0,0,Male,General,Hostel,1
STU1093,73.1,39.5,65.5,6.55,0,100.0,3,9,1,22766.0,0,7.6,1,0,0,Male,OBC,Day Scholar,0
STU1094,72.1,78.7,81.8,8.18,0,86.6,4,9,1,5347.0,0,3.9,0,0,0,Female,ST,Day Scholar,0
STU1095,56.0,58.6,45.5,4.55,0,79.0,3,1,0,16092.0,1,42.2,1,0,0,Female,General,Day Scholar,0
STU1096,82.4,72.1,71.5,7.15,0,38.1,6,1,0,58723.0,1,0.7,0,0,0,Male,SC,Day Scholar,0
STU1097,81.9,40.7,52.6,5.26,1,59.3,4,1,1,16724.0,1,35.0,0,1,38,Female,OBC,Day Scholar,0
STU1098,78.1,32.0,59.9,5.99,1,66.9,1,5,1,9907.0,1,2.1,0,1,45,Female,OBC,Day Scholar,1
STU1099,74.5,74.7,63.2,6.32,3,35.5,9,6,0,6178.0,0,5.7,0,0,0,Male,ST,Day Scholar,1
STU1100,56.8,66.8,38.0,3.8,1,52.8,7,5,0,6289.0,0,6.5,0,0,0,Female,General,Day Scholar,0
STU1101,71.7,43.8,49.5,4.95,2,69.6,5,2,1,24868.0,1,15.8,1,0,0,Male,OBC,Day Scholar,0
STU1102,72.9,44.3,83.6,8.36,2,72.9,4,5,1,13900.0,0,2.9,0,1,59,Female,SC,Hostel,1
STU1103,66.0,80.3,76.2,7.62,0,85.1,2,4,1,14609.0,1,51.3,1,0,0,Female,ST,Hostel,0
STU1104,75.6,38.6,61.0,6.1,0,70.9,4,5,1,13935.0,1,16.6,0,0,0,Male,General,Day Scholar,0
STU1105,84.1,89.6,65.9,6.59,1,80.0,5,2,0,16578.0,1,18.7,1,1,41,Male,General,Day Scholar,0
STU1106,100.0,43.8,57.3,5.73,1,66.6,4,2,1,8636.0,0,1.4,0,0,0,Female,General,Day Scholar,0
STU1107,80.6,71.5,83.7,8.37,1,75.8,6,1,1,21800.0,0,7.8,0,0,0,Female,SC,Hostel,0
STU1108,81.9,54.1,58.8,5.88,1,84.0,3,7,1,7680.0,1,34.9,0,0,0,Male,ST,Hostel,0
STU1109,76.9,70.9,65.7,6.57,2,100.0,7,3,0,11459.0,1,3.8,0,1,57,Male,OBC,Hostel,0
STU1110,49.2,50.2,80.3,8.03,0,64.7,5,1,1,33074.0,1,1.9,0,0,0,Male,General,Day Scholar,0
STU1111,77.6,57.1,49.6,4.96,2,77.9,6,6,0,22600.0,0,8.0,0,0,0,Male,General,Hostel,0
STU1112,78.9,60.7,86.9,8.69,2,92.4,7,4,0,27212.0,1,32.0,0,1,47,Male,OBC,Day Scholar,1
STU1113,100.0,42.0,37.5,3.75,0,46.2,2,6,0,65528.0,1,8.0,0,1,49,Male,EWS,Day Scholar,0
STU1114,75.1,73.3,88.1,8.81,1,100.0,6,1,0,17400.0,0,6.2,0,0,0,Male,SC,Day Scholar,0
STU1115,82.5,50.8,56.0,5.6,1,98.6,4,5,0,18267.0,1,12.6,1,0,0,Male,SC,Day Scholar,0
STU1116,77.5,55.9,58.1,5.81,1,40.8,6,4,1,15389.0,0,33.2,0,0,0,Female,OBC,Day Scholar,0
STU1117,60.5,42.1,31.8,3.18,1,82.4,3,2,1,13821.0,1,0.6,0,0,0,Male,EWS,Day Scholar,0
STU1118,95.1,13.9,54.7,5.47,0,63.7,6,3,1,9834.0,0,2.0,1,0,0,Female,SC,Hostel,0
STU1119,89.3,56.6,45.4,4.54,0,67.1,8,5,1,18967.0,1,1.7,0,0,0,Male,General,Day Scholar,0
STU1120,89.9,100.0,52.3,5.23,0,82.0,3,3,0,22315.0,0,1.1,1,0,0,Female,SC,Hostel,0
STU1121,64.4,74.1,59.8,5.98,0,96.0,7,4,0,23074.0,0,4.3,1,0,0,Male,OBC,Hostel,0
STU1122,99.0,59.7,77.3,7.73,0,65.7,15,3,0,18744.0,1,3.1,0,0,0,Male,OBC,Day Scholar,0
STU1123,57.0,55.3,65.3,6.53,1,66.0,7,10,0,31436.0,0,9.5,1,0,0,Female,EWS,Hostel,0
STU1124,86.8,60.4,66.9,6.69,1,82.4,6,2,0,18355.0,1,4.8,0,1,49,Female,General,Day Scholar,0
STU1125,100.0,69.8,44.5,4.45,1,86.4,3,2,0,14107.0,0,6.2,1,0,0,Female,SC,Day Scholar,0
STU1126,63.1,38.7,47.9,4.79,0,54.9,2,6,0,10340.0,1,34.1,0,0,0,Male,OBC,Day Scholar,1
STU1127,69.5,80.1,90.8,9.08,1,100.0,5,3,0,7120.0,0,2.0,0,0,0,Male,EWS,Day Scholar,0
STU1128,79.5,72.9,50.2,5.02,3,62.1,6,3,0,43315.0,1,5.9,1,0,0,Male,General,Day Scholar,0
STU1129,70.4,72.9,88.5,8.85,1,94.3,6,6,0,11856.0,0,3.6,1,0,0,Male,SC,Hostel,0
STU1130,54.7,67.9,58.1,5.81,1,84.0,4,0,1,10349.0,0,9.6,0,0,0,Male,General,Hostel,1
STU1131,79.0,60.4,62.0,6.2,0,87.1,1,5,0,14037.0,1,16.0,0,0,0,Male,General,Day Scholar,0
STU1132,62.1,72.1,79.1,7.91,1,62.5,6,1,0,15260.0,0,20.4,0,0,0,Male,General,Day Scholar,1
STU1133,85.1,70.7,82.4,8.24,1,40.5,8,9,0,48200.0,1,8.7,1,0,0,Female,OBC,Hostel,0
STU1134,64.2,53.6,60.2,6.02,1,74.6,2,3,1,14811.0,0,23.2,0,0,0,Female,EWS,Day Scholar,0
STU1135,100.0,49.7,55.8,5.58,1,74.7,2,6,0,87556.0,1,18.4,1,0,0,Male,General,Hostel,0
STU1136,66.3,61.8,61.1,6.11,1,55.8,2,0,0,18736.0,0,2.0,0,0,0,Female,General,Hostel,0
STU1137,73.2,87.9,67.4,6.74,2,93.4,5,3,0,61958.0,1,3.4,0,0,0,Female,General,Day Scholar,0
STU1138,90.2,37.7,76.3,7.63,2,74.0,7,5,1,30834.0,0,13.4,0,0,0,Male,OBC,Day Scholar,1
STU1139,59.5,33.6,62.1,6.21,1,58.8,7,3,1,22396.0,0,44.2,1,0,0,Male,General,Hostel,1
STU1140,81.4,63.0,71.9,7.19,2,86.7,9,5,0,46477.0,0,5.7,1,0,0,Male,EWS,Day Scholar,0
STU1141,97.6,60.9,88.2,8.82,0,87.2,4,5,1,35360.0,0,3.1,0,0,0,Female,OBC,Day Scholar,0
STU1142,53.9,63.1,68.1,6.81,1,60.7,7,6,0,26392.0,1,24.4,1,0,0,Male,SC,Day Scholar,0
STU1143,80.8,64.4,67.0,6.7,1,99.7,5,6,0,72443.0,1,2.7,1,0,0,Male,SC,Day Scholar,1
STU1144,81.9,56.0,37.7,3.77,2,100.0,7,5,0,13373.0,1,14.3,1,1,49,Male,OBC,Day Scholar,0
STU1145,89.7,86.8,19.9,1.99,2,53.2,7,2,0,9927.0,0,0.4,1,0,0,Female,ST,Day Scholar,0
STU1146,59.4,31.2,68.2,6.82,0,71.3,3,4,1,12019.0,0,0.2,0,1,39,Male,ST,Day Scholar,1
STU1147,58.2,45.1,60.5,6.05,0,81.7,5,2,1,51604.0,0,7.2,0,1,48,Male,General,Hostel,1
STU1148,85.8,58.1,53.8,5.38,0,100.0,5,5,0,43065.0,1,12.8,0,0,0,Male,ST,Hostel,0
STU1149,82.5,30.4,65.9,6.59,1,60.3,5,3,0,13159.0,0,1.8,1,0,0,Male,OBC,Day Scholar,0
STU1150,81.8,56.8,61.0,6.1,0,56.2,5,3,0,5000.0,1,17.3,1,0,0,Male,General,Hostel,0
STU1151,83.2,89.9,80.0,8.0,1,56.1,8,3,0,15939.0,0,1.7,0,0,0,Male,OBC,Day Scholar,0
STU1152,67.8,60.4,63.4,6.34,1,99.4,2,7,1,9819.0,0,9.2,1,0,0,Male,General,Hostel,0
STU1153,81.5,64.2,50.0,5.0,0,60.8,6,7,1,13408.0,1,4.4,1,0,0,Male,OBC,Hostel,0
STU1154,82.4,37.3,77.8,7.78,1,58.0,6,4,0,9579.0,0,16.7,0,0,0,Male,SC,Day Scholar,0
STU1155,67.3,48.9,58.5,5.85,3,79.6,6,1,0,6866.0,0,19.6,0,0,0,Male,General,Day Scholar,0
STU1156,100.0,53.2,70.4,7.04,3,81.2,1,5,1,55822.0,1,0.8,1,1,53,Male,General,Day Scholar,0
STU1157,85.1,54.3,54.4,5.44,0,96.4,10,6,0,11966.0,0,2.6,0,0,0,Male,EWS,Hostel,0
STU1158,60.1,83.1,51.6,5.16,0,76.8,5,2,1,42091.0,0,26.8,0,1,38,Male,OBC,Day Scholar,1
STU1159,87.8,70.0,63.3,6.33,1,80.0,3,3,0,15791.0,1,6.4,0,0,0,Male,General,Day Scholar,0
STU1160,63.4,40.0,62.2,6.22,1,72.9,0,4,0,9150.0,0,7.8,1,0,0,Male,EWS,Hostel,0
STU1161,89.8,64.4,69.7,6.97,1,48.9,7,0,0,24476.0,0,2.2,0,1,58,Female,ST,Day Scholar,0
STU1162,95.4,69.0,57.7,5.77,1,71.0,4,2,0,14262.0,1,63.3,1,0,0,Female,General,Hostel,0
STU1163,65.7,80.5,32.6,3.26,1,76.3,6,4,0,15926.0,1,30.8,0,0,0,Male,General,Hostel,0
STU1164,92.5,88.4,55.1,5.51,3,66.1,4,5,1,19672.0,0,0.0,0,0,0,Male,ST,Day Scholar,0
STU1165,84.2,41.7,74.7,7.47,1,43.7,2,2,1,11078.0,1,9.6,0,1,39,Female,General,Day Scholar,1
STU1166,90.3,45.4,57.2,5.72,1,52.3,4,2,0,6818.0,0,24.7,1,1,41,Male,OBC,Day Scholar,0
STU1167,100.0,37.4,58.1,5.81,3,74.2,9,3,0,17487.0,0,6.8,0,0,0,Female,General,Hostel,0
STU1168,74.3,55.8,77.8,7.78,0,93.7,4,2,1,32156.0,1,6.9,0,0,0,Female,SC,Hostel,0
STU1169,66.7,68.4,50.6,5.06,0,100.0,5,4,1,10499.0,1,5.7,0,0,0,Female,General,Day Scholar,0
STU1170,64.7,77.8,37.3,3.73,1,71.3,8,3,0,19779.0,1,0.4,1,1,40,Male,OBC,Hostel,1
STU1171,65.8,58.6,59.4,5.94,0,60.7,2,2,1,44503.0,1,18.7,0,0,0,Male,General,Day Scholar,0
STU1172,76.8,54.2,54.3,5.43,1,67.5,2,4,1,17088.0,0,7.3,0,1,55,Male,General,Day Scholar,0
STU1173,83.1,62.7,46.5,4.65,0,54.1,5,3,0,18990.0,0,9.1,0,0,0,Male,General,Hostel,0
STU1174,82.2,45.0,59.2,5.92,0,90.8,4,3,0,18641.0,1,3.5,0,1,48,Male,General,Day Scholar,0
STU1175,90.4,97.6,69.9,6.99,0,100.0,8,4,0,11975.0,1,18.4,0,0,0,Male,ST,Hostel,0
STU1176,78.2,31.1,61.9,6.19,3,61.1,6,3,0,9937.0,0,18.9,0,0,0,Male,ST,Day Scholar,0
STU1177,99.8,63.3,66.9,6.69,0,51.2,9,5,1,9961.0,0,9.7,0,0,0,Female,SC,Day Scholar,0
STU1178,74.0,96.4,91.0,9.1,2,95.1,7,2,0,22492.0,1,28.2,0,0,0,Male,OBC,Day Scholar,0
STU1179,100.0,60.1,56.5,5.65,4,81.4,2,6,1,28416.0,1,1.5,0,0,0,Female,General,Day Scholar,0
STU1180,87.4,56.6,66.5,6.65,0,81.7,8,3,0,29233.0,0,18.5,0,1,53,Female,General,Day Scholar,0
STU1181,65.1,53.6,53.9,5.39,1,100.0,3,4,0,14370.0,1,9.8,1,1,43,Male,General,Day Scholar,1
STU1182,61.9,56.8,48.5,4.85,2,47.7,5,2,1,34752.0,0,3.2,0,1,64,Male,SC,Day Scholar,1
STU1183,85.2,84.7,52.6,5.26,2,47.1,4,1,0,21686.0,0,1.7,0,0,0,Female,General,Day Scholar,0
STU1184,74.6,20.2,54.3,5.43,1,71.8,5,5,0,18816.0,0,4.3,1,0,0,Male,EWS,Day Scholar,0
STU1185,88.7,87.6,67.8,6.78,0,76.3,4,1,0,5000.0,0,23.3,0,0,0,Female,SC,Day Scholar,1
STU1186,85.1,34.4,99.6,9.96,1,67.9,8,0,0,11043.0,1,18.6,0,1,46,Female,EWS,Day Scholar,1
STU1187,76.9,55.2,50.5,5.05,0,100.0,0,3,1,7240.0,0,12.4,0,0,0,Male,OBC,Hostel,1
STU1188,65.3,52.3,55.3,5.53,0,68.8,7,4,0,26272.0,0,1.1,0,0,0,Female,OBC,Hostel,0
STU1189,55.3,70.6,61.0,6.1,2,64.0,4,6,1,19092.0,1,37.2,0,0,0,Male,General,Hostel,0
STU1190,71.3,31.2,68.3,6.83,2,77.5,5,4,0,9479.0,0,4.4,1,0,0,Female,OBC,Day Scholar,0
STU1191,90.8,68.3,66.2,6.62,2,94.4,2,1,1,21647.0,1,11.2,0,0,0,Male,EWS,Day Scholar,0
STU1192,81.2,96.4,82.5,8.25,1,60.5,3,3,0,7676.0,1,19.5,0,0,0,Male,General,Day Scholar,0
STU1193,59.3,35.5,23.2,2.32,1,72.1,3,1,0,9641.0,0,1.7,1,0,0,Male,General,Day Scholar,0
STU1194,80.6,63.4,23.8,2.38,2,95.0,1,5,1,11777.0,0,12.7,0,0,0,Female,General,Hostel,1
STU1195,83.8,48.1,54.1,5.41,0,96.1,3,4,0,24936.0,1,0.4,0,1,38,Female,EWS,Hostel,0
STU1196,64.7,67.7,79.6,7.96,2,79.4,4,3,1,41759.0,1,1.3,0,0,0,Female,General,Day Scholar,0
STU1197,80.3,60.3,36.9,3.69,1,100.0,4,5,0,12688.0,0,15.4,1,1,40,Male,SC,Day Scholar,0
STU1198,78.9,48.5,13.9,1.39,3,100.0,7,5,0,39874.0,1,2.0,0,0,0,Male,General,Day Scholar,0
STU1199,60.9,68.8,71.1,7.11,1,46.9,9,3,1,18554.0,0,7.0,0,0,0,Male,ST,Day Scholar,0
STU1200,83.4,92.5,65.9,6.59,2,41.2,1,4,1,20779.0,0,3.4,0,0,0,Female,OBC,Day Scholar,0
STU1201,86.4,56.6,44.6,4.46,2,90.9,3,6,0,17356.0,1,6.6,0,1,46,Female,General,Day Scholar,0
STU1202,94.2,73.0,46.2,4.62,1,100.0,5,3,1,16020.0,1,1.0,0,1,43,Male,SC,Hostel,0
STU1203,93.8,36.7,46.5,4.65,0,70.5,1,2,0,23472.0,0,16.9,0,0,0,Female,SC,Hostel,1
STU1204,57.3,42.8,63.8,6.38,1,65.0,3,1,0,28119.0,0,1.0,0,0,0,Male,OBC,Day Scholar,0
STU1205,63.9,68.5,52.0,5.2,0,58.6,5,7,0,10607.0,1,21.8,1,0,0,Female,SC,Hostel,1
STU1206,85.7,86.7,69.9,6.99,1,51.6,7,6,0,16098.0,1,13.0,1,1,36,Male,General,Day Scholar,0
STU1207,85.7,66.4,16.3,1.63,2,97.7,4,3,0,49098.0,1,6.5,1,0,0,Male,EWS,Hostel,0
STU1208,85.7,54.4,48.3,4.83,0,67.4,6,1,0,20057.0,0,24.2,0,1,50,Female,General,Hostel,1
STU1209,100.0,60.0,44.0,4.4,2,81.0,4,5,1,21419.0,1,2.5,0,0,0,Female,General,Day Scholar,0
STU1210,86.6,37.5,57.9,5.79,1,38.5,3,5,0,36329.0,0,3.7,0,0,0,Male,General,Day Scholar,0
STU1211,95.0,70.9,53.4,5.34,1,95.0,5,3,0,13350.0,1,1.8,0,0,0,Male,General,Hostel,0
STU1212,92.3,75.9,74.8,7.48,0,86.8,4,5,0,17670.0,0,5.8,0,0,0,Female,OBC,Day Scholar,0
